step0,step1,action_type,N_total,N_topk,N_sampled,proxy_norm_max,proxy_norm_p99,proxy_norm_median,proxy_norm_min,selected_action_type,selected_exact_norm,topk_threshold
5,6,bitmask_swap,49881,0,49881,0.6903120875358582,0.06815742701292038,0.0017263646004721522,6.176429159787666e-12,weight_bit,3.2552242279052734,1.2748651841070142
6,7,weight_bit,10500,64,10500,2.8876992845619043,1.0466383936519605,0.20787995475291865,0.023116431803481774,weight_bit,3.988811492919922,1.159958054059807
6,7,index_1bit,49892,0,49892,1.1333231925964355,0.14665254950523376,0.0033740864600986242,7.10025510608503e-11,weight_bit,3.988811492919922,1.159958054059807
6,7,bitmask_swap,49892,0,49892,0.5666615962982178,0.07332627475261688,0.0016870432300493121,3.550127553042515e-11,weight_bit,3.988811492919922,1.159958054059807
7,8,weight_bit,10500,63,10500,3.431754997871991,1.2462917296757325,0.21727894202948406,0.025047996649698145,weight_bit,3.505311965942383,1.4031268249599407
7,8,index_1bit,49859,1,49859,1.6600723266601562,0.1712915599346161,0.0035406905226409435,1.117057098201841e-15,weight_bit,3.505311965942383,1.4031268249599407
7,8,bitmask_swap,49859,0,49859,0.8300361633300781,0.08564577996730804,0.0017703452613204718,5.585285491009205e-16,weight_bit,3.505311965942383,1.4031268249599407
8,9,weight_bit,10500,64,10500,4.777722010543243,1.4454210319736944,0.2537939918305554,0.031229279010366096,weight_bit,3.698240280151367,1.6868204721210418
8,9,index_1bit,49785,0,49785,1.4483675956726074,0.1915096938610077,0.003913682885468006,1.5522747298078234e-17,weight_bit,3.698240280151367,1.6868204721210418
8,9,bitmask_swap,49785,0,49785,0.7241837978363037,0.09575484693050385,0.001956841442734003,7.761373649039117e-18,weight_bit,3.698240280151367,1.6868204721210418
9,10,weight_bit,10500,64,10500,3.4490992664894975,1.7349865236843982,0.24785309820932078,0.02659297367389568,weight_bit,3.4167346954345703,2.024304018390552
9,10,index_1bit,49683,0,49683,1.3388303518295288,0.2197692096233368,0.003512890310958028,1.0750427789444849e-20,weight_bit,3.4167346954345703,2.024304018390552
9,10,bitmask_swap,49683,0,49683,0.6694151759147644,0.1098846048116684,0.001756445155479014,5.3752138947224244e-21,weight_bit,3.4167346954345703,2.024304018390552
10,11,weight_bit,10500,64,10500,3.6920427413152765,1.8693074334384505,0.23857324086192122,0.02321995823263112,weight_bit,3.6654930114746094,2.173055136281249
10,11,index_1bit,49623,0,49623,1.2765392065048218,0.23717474937438965,0.0035195278469473124,1.531450227413199e-23,weight_bit,3.6654930114746094,2.173055136281249
10,11,bitmask_swap,49623,0,49623,0.6382696032524109,0.11858737468719482,0.0017597639234736562,7.657251137065994e-24,weight_bit,3.6654930114746094,2.173055136281249
11,12,weight_bit,10500,64,10500,3.565680959873589,1.9107937795648127,0.23848669595694716,0.02762834233986089,weight_bit,3.1522789001464844,2.216128750511473
11,12,index_1bit,49488,0,49488,1.4969172477722168,0.24023965001106262,0.0035496498458087444,7.450627930953172e-26,weight_bit,3.1522789001464844,2.216128750511473
11,12,bitmask_swap,49488,0,49488,0.7484586238861084,0.12011982500553131,0.0017748249229043722,3.725313965476586e-26,weight_bit,3.1522789001464844,2.216128750511473
12,13,weight_bit,10500,64,10500,5.541374620531997,2.1178100212681557,0.23490895824082525,0.02497544117056716,weight_bit,3.4941787719726562,2.3873449940126648
12,13,index_1bit,49358,0,49358,1.8059223890304565,0.2676025927066803,0.0036242131609469652,4.735002922567412e-26,weight_bit,3.4941787719726562,2.3873449940126648
